raw_message_id,source_chat_id,source_chat_title,telegram_message_id,message_type,eligibility_status,eligibility_reason,trader_resolution_method,raw_text_preview
2515,3171748254,PifSignal,1,UNCLASSIFIED,ACQUIRED_UNKNOWN_TRADER,history_replay; unresolved_trader,multi_trader_chat,
2514,3171748254,PifSignal,23,UNCLASSIFIED,ACQUIRED_UNKNOWN_TRADER,history_replay; unresolved_trader,multi_trader_chat,[trader#2] Coin: #1000RATSUSDT  Direction: Long  Leverage: 5-10x  #1000RATS has already broken out of the symmetrical triangle and is looking bullish.  Entry: 0.02960 - 0.02900$ (Buy partially)  Ta...
2513,3171748254,PifSignal,24,UNCLASSIFIED,ACQUIRED_UNKNOWN_TRADER,history_replay; unresolved_trader,multi_trader_chat,"[trader#2] Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),  book profits Partially"
2512,3171748254,PifSignal,25,UNCLASSIFIED,ACQUIRED_UNKNOWN_TRADER,history_replay; unresolved_trader,multi_trader_chat,[trader#2] Coin: #GMXUSDT  Direction: Long  Leverage: 5-10x  #GMX has already broken out of the symmetrical triangle and is looking bullish.  Entry: 10.580 - 10.400$ (Buy partially)  Targets: 10.80...
2511,3171748254,PifSignal,26,UNCLASSIFIED,ACQUIRED_UNKNOWN_TRADER,history_replay; unresolved_trader,multi_trader_chat,"[trader#2] Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),  book profits Partially"
2510,3171748254,PifSignal,27,UNCLASSIFIED,ACQUIRED_UNKNOWN_TRADER,history_replay; unresolved_trader,multi_trader_chat,[trader#2] #1000RATSUSDT UPDATE:  Target 1 done nicely✔️  So far 28% Profits with 10x leverage🤑  Enjoy the profits Guys🍾🍾
2509,3171748254,PifSignal,28,UNCLASSIFIED,ACQUIRED_UNKNOWN_TRADER,history_replay; unresolved_trader,multi_trader_chat,"[trader#2] #JUPUSDT UPDATE:  Target 1,2,3 done nicely✔️  So far 70% Profits with 10x leverage🤑  Enjoy the profits Guys🍾🍾"
2507,3171748254,PifSignal,30,UNCLASSIFIED,ACQUIRED_UNKNOWN_TRADER,history_replay; unresolved_trader,multi_trader_chat,[trader#2] Coin: #XRPUSDT  Direction: Long  Leverage: 5-10x  #XRP has already broken out of the cup and handle pattern and is looking bullish.  Entry: 2.58 - 2.52$ (Buy partially)  Targets: 2.64 -...
2508,3171748254,PifSignal,29,UNCLASSIFIED,ACQUIRED_UNKNOWN_TRADER,history_replay; unresolved_trader,multi_trader_chat,"[trader#2] Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),  book profits Partially"
2500,3171748254,PifSignal,37,UNCLASSIFIED,ACQUIRED_UNKNOWN_TRADER,history_replay; unresolved_trader,multi_trader_chat,[trader#2] Coin: #SEIUSDT  Direction: Long  Leverage: 5-10x  #SEI already broke out of the falling wedge pattern and is looking bullish.  Entry: 0.1970 - 0.1920$ (Buy partially)  Targets: 0.2020 -...
2501,3171748254,PifSignal,36,UNCLASSIFIED,ACQUIRED_UNKNOWN_TRADER,history_replay; unresolved_trader,multi_trader_chat,[trader#2] Coin: #XLMUSDT  Direction: Long  Leverage: 5-10x  #XLM has already broken out of the symmetrical triangle and is looking bullish.  Entry: $0.329 - $0.320 (Buy partially)  Targets: $0.336...
2502,3171748254,PifSignal,35,UNCLASSIFIED,ACQUIRED_UNKNOWN_TRADER,history_replay; unresolved_trader,multi_trader_chat,"[trader#2] Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),  book profits Partially"
2503,3171748254,PifSignal,34,UNCLASSIFIED,ACQUIRED_UNKNOWN_TRADER,history_replay; unresolved_trader,multi_trader_chat,[trader#2] #JUPUSDT UPDATE:  Target 4 done nicely✔️  So far 100% Profits with 10x leverage🤑  Enjoy the profits Guys🍾🍾
2504,3171748254,PifSignal,33,UNCLASSIFIED,ACQUIRED_UNKNOWN_TRADER,history_replay; unresolved_trader,multi_trader_chat,[trader#2] #1000RATSUSDT UPDATE:  Target 2 done nicely✔️  So far 70% Profits with 10x leverage🤑  Enjoy the profits Guys🍾🍾
2505,3171748254,PifSignal,32,UNCLASSIFIED,ACQUIRED_UNKNOWN_TRADER,history_replay; unresolved_trader,multi_trader_chat,"[trader#2] Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),  book profits Partially"
2506,3171748254,PifSignal,31,UNCLASSIFIED,ACQUIRED_UNKNOWN_TRADER,history_replay; unresolved_trader,multi_trader_chat,[trader#2] Close this position
2497,3171748254,PifSignal,40,UNCLASSIFIED,ACQUIRED_UNKNOWN_TRADER,history_replay; unresolved_trader,multi_trader_chat,"[trader#1] $XRPUSDT SIGNAL UPDATE:  Smashed the second target, went for over 44% profits using x5 leverage. ✅🚀  Easy money 🚀"
2498,3171748254,PifSignal,39,UNCLASSIFIED,ACQUIRED_UNKNOWN_TRADER,history_replay; unresolved_trader,multi_trader_chat,[trader#1] Coin: $MANAUSDT Long Leverage: Isolated x3 Entry: 0.2421 - 0.2144  Targets: 0.2712 - 0.33 - 0.3876 - 0.5203 SL: 0.2008
2499,3171748254,PifSignal,38,UNCLASSIFIED,ACQUIRED_UNKNOWN_TRADER,history_replay; unresolved_trader,multi_trader_chat,"[trader#1] We pushed the second tp around of this price, to be safe. 🐺"
2496,3171748254,PifSignal,41,UNCLASSIFIED,ACQUIRED_UNKNOWN_TRADER,history_replay; unresolved_trader,multi_trader_chat,"[trader#2] #JUPUSDT UPDATE:  Target 5,6 done nicely✔️  So far 150% Profits with 10x leverage🤑  Enjoy the profits Guys🍾🍾"
2494,3171748254,PifSignal,43,UNCLASSIFIED,ACQUIRED_UNKNOWN_TRADER,history_replay; unresolved_trader,multi_trader_chat,[trader#2] #XRPUSDT UPDATE:  Target 1 done nicely✔️  So far 30% Profits with 10x leverage🤑  Enjoy the profits Guys🍾🍾
